Month,Day,Hour,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
January,3,17,11.162506,14.350006,15.162506,13.225006,14.912506,10.635986,15.162506,12.600006,14.100006,9.787506,9.725006,11.537506,14.600006,13.850006,10.662506,13.787506,8.037506,15.975006,10.287506,13.537506,8.850006,11.787506,10.787506,15.725006
January,3,18,10.850006,15.600006,15.787506,13.287506,17.787506,12.256073,17.225006,13.162506,16.162506,10.100006,10.162506,12.037506,16.225006,14.975006,11.412506,16.725006,9.100006,18.287506,13.537506,16.100006,10.600006,13.725006,11.975006,17.537506
January,3,19,11.037506,16.100006,16.662506,13.350006,18.662506,13.452179,18.975006,13.475006,17.162506,10.287506,10.225006,13.100006,17.287506,15.537506,12.037506,18.537506,9.975006,20.225006,15.225006,17.975006,12.162506,14.787506,12.787506,18.787506
January,3,20,11.100006,16.350006,17.162506,13.350006,19.225006,14.3280945,20.037506,13.850006,17.850006,10.662506,10.975006,13.475006,17.912506,15.475006,12.537506,19.912506,10.912506,21.975006,16.037506,18.662506,13.162506,15.287506,13.100006,19.725006
January,3,21,11.912506,18.037506,17.287506,14.537506,21.537506,17.195099,23.162506,15.912506,21.725006,12.100006,11.475006,14.600006,19.037506,15.537506,13.537506,21.725006,12.100006,22.662506,18.287506,19.037506,14.287506,15.725006,13.600006,20.287506
January,3,22,12.287506,15.725006,17.600006,14.412506,21.787506,17.418427,23.662506,15.100006,20.787506,12.037506,12.350006,14.225006,18.475006,15.725006,13.350006,22.787506,11.662506,22.350006,18.100006,18.912506,14.662506,15.412506,13.662506,21.850006
January,3,23,12.412506,15.600006,17.225006,14.412506,21.975006,17.388702,23.662506,14.912506,20.600006,12.162506,11.475006,14.412506,18.225006,15.600006,13.350006,22.787506,12.225006,22.350006,17.912506,18.475006,14.662506,15.412506,13.725006,21.412506
January,4,0,12.412506,15.412506,16.600006,14.287506,21.287506,17.24942,23.037506,14.412506,20.162506,11.975006,11.162506,13.975006,17.162506,15.537506,13.100006,21.725006,12.100006,21.600006,17.225006,17.662506,14.350006,14.912506,13.725006,20.100006
January,4,1,12.975006,15.537506,14.787506,13.725006,18.225006,16.552399,21.162506,13.912506,18.662506,11.537506,10.850006,13.162506,15.225006,15.412506,12.225006,19.287506,11.537506,20.912506,15.537506,16.287506,12.912506,14.537506,13.162506,18.850006
January,4,2,12.475006,14.225006,13.912506,13.287506,16.350006,16.191315,18.975006,13.787506,17.412506,11.037506,10.350006,12.725006,15.725006,14.662506,11.975006,17.725006,11.100006,18.037506,14.412506,15.725006,11.975006,13.850006,13.350006,18.100006
January,4,3,10.975006,11.975006,12.912506,12.037506,12.100006,12.127167,14.662506,11.412506,13.537506,8.037506,8.662506,11.412506,14.225006,12.225006,10.787506,14.787506,9.787506,16.037506,11.912506,14.725006,11.225006,13.225006,12.537506,17.912506
January,4,4,10.537506,11.912506,12.350006,12.100006,11.725006,11.585602,13.662506,11.100006,13.600006,7.475006,8.537506,11.162506,12.600006,11.600006,10.787506,13.912506,9.225006,15.100006,11.350006,13.850006,9.912506,12.912506,12.287506,16.975006
